Date,Rank,Artist,Monthly Listeners (Millions)
October 2017,1,Ed Sheeran[1],41.4
October 2017,2,Taylor Swift[2],35
October 2017,3,J Balvin[3],34.8
October 2017,4,Maroon 5[4],34.2
October 2017,5,Calvin Harris[5],33.1
October 2017,6,Imagine Dragons[6],32.8
October 2017,7,Daddy Yankee[7],31.7
October 2017,8,Justin Bieber[8],31
October 2017,9,Dua Lipa[9],30.9
October 2017,10,Sia[10],30.8
November 2017,1,Ed Sheeran[1],45.7
November 2017,2,Maroon 5[2],39.2
November 2017,3,Post Malone[3],37.2
November 2017,7,J Balvin[4],33.3
November 2017,5,Sia[5],33.6
November 2017,4,Camila Cabello[6],35
November 2017,6,Dua Lipa[7],33.5
November 2017,8,Sam Smith[8],32.9
November 2017,9,Selena Gomez[9],34
November 2017,10,Charlie Puth[10],31.2
December 2017,1,Ed Sheeran[1],50
December 2017,2,Camila Cabello[2],40.1
December 2017,3,Maroon 5[3],38.1
December 2017,4,Post Malone[4],38.1
December 2017,5,Selena Gomez[5],34
December 2017,6,Sam Smith[6],34
December 2017,7,Dua Lipa[7],33.8
December 2017,8,Sia[8],33.6
December 2017,9,J Balvin[9],33.3
December 2017,10,Charlie Puth[10],31.2
January 2018,1,Ed Sheeran[1],50.7
January 2018,2,Camila Cabello[2],46.09
January 2018,3,Eminem[3],39.1
January 2018,4,Post Malone[4],38.7
January 2018,5,Dua Lipa[5],36.6
January 2018,6,Maroon 5[6],36.3
January 2018,7,Bruno Mars[7],36.05
January 2018,8,J Balvin[8],34.8
January 2018,9,Drake[9],34.8
January 2018,10,Demi Lovato[10],34.7
February 2018,1,Ed Sheeran[1],48.891512
February 2018,2,Drake[2],44.833585
February 2018,3,Camila Cabello[3],43.704247
February 2018,4,Kendrick Lamar [4],39.550605
February 2018,5,Eminem [5],37.940173
February 2018,6,Dua Lipa[6],37.181277
February 2018,7,Bruno Mars[7],36.703755
February 2018,8,Post Malone [8],36.809184
February 2018,9,The Weeknd[9],35.157482
February 2018,10,Maroon 5[10],34.16479
March 2018,1,Drake,48
March 2018,2,Ed Sheeran,43
March 2018,3,Kendrick Lamar,43
March 2018,4,Marshmello,41
March 2018,5,Camila Cabello,
March 2018,6,Post Malone,40 million
March 2018,7,Dua Lipa,38 million
March 2018,8,David Guetta,36 million
March 2018,9,The Chainsmokers,35 million
March 2018,10,Khalid,34 million
April 2018,1,Drake,50
April 2018,2,The Weeknd,43
April 2018,3,J Balvin,43
April 2018,4,Dua Lipa,42
April 2018,5,Ed Sheeran,40
April 2018,6,Marshmello,40
April 2018,7,David Guetta,39
April 2018,8,Post Malone,39
April 2018,9,Kendrick Lamar,38
April 2018,10,Calvin Harris,36
May 2018,1,Drake,49
May 2018,2,J Balvin,45
May 2018,3,Post Malone,45
May 2018,4,Dua Lipa,43
May 2018,5,Calvin Harris,41
May 2018,6,Ed Sheeran,40
May 2018,7,Marshmello,39
May 2018,8,David Guetta,38
May 2018,9,Sia,36
May 2018,10,Khalid,
June 2018,1,Drake,49
June 2018,2,J Balvin,48
June 2018,3,Calvin Harris,43
June 2018,4,Dua Lipa,
June 2018,5,Post Malone,
June 2018,6,Maroon 5,40
June 2018,7,Ed Sheeran,38
June 2018,8,David Guetta,37
June 2018,9,Khalid,
June 2018,10,Sia,
July 2018,1,Drake,64
July 2018,2,J Balvin,50
July 2018,3,Maroon 5,43
July 2018,4,Calvin Harris,
July 2018,5,Dua Lipa,
July 2018,6,Khalid,41
July 2018,7,Bad Bunny,
July 2018,8,Post Malone,40
July 2018,9,Ed Sheeran,
July 2018,10,Demi Lovato,39
August 2018,1,Drake,60
August 2018,2,J Balvin,47
August 2018,3,Maroon 5,43
August 2018,4,Calvin Harris,41
August 2018,5,Khalid,
August 2018,6,Ed Sheeran,40
August 2018,7,Ariana Grande,40
August 2018,8,Bad Bunny,38
August 2018,9,Imagine Dragons,
August 2018,10,Dua Lipa,
September 2018,1,Drake,53.3
September 2018,2,Eminem,44.5
September 2018,3,J Balvin,44.2
September 2018,4,Calvin Harris,42.7
September 2018,5,Khalid,42.2
September 2018,6,Maroon 5,40.8
September 2018,7,David Guetta,40.2
September 2018,8,Imagine Dragons,39.1
September 2018,9,Dua Lipa,39.6
September 2018,10,Ed Sheeran,38.3
October 2018,1,Drake,47.9
October 2018,2,Selena Gomez,45.1
October 2018,3,Khalid,43.4
October 2018,4,Calvin Harris,42.1
October 2018,5,J Balvin,41.8
October 2018,6,Dua Lipa,41.1
October 2018,7,Marshmello,40.5
October 2018,8,Ozuna,39.7
October 2018,9,David Guetta,39.1
October 2018,10,Bad Bunny,39.5
November 2018,1,Selena Gomez,45.88
November 2018,2,Ariana Grande,45.84
November 2018,3,Drake,43.5
November 2018,4,Khalid,41.8
November 2018,5,Imagine Dragons,41.6
November 2018,6,Calvin Harris,40.6
November 2018,7,J Balvin,40.3
November 2018,8,Post Malone,40.3
November 2018,9,DJ Snake,40.3
November 2018,10,Ozuna,40.2
December 2018,1,Ariana Grande,60.8
December 2018,2,Mariah Carey,44.8
December 2018,3,Selena Gomez,44.2
December 2018,4,Drake,43.5
December 2018,5,Post Malone,41.2
December 2018,6,Khalid,41.1
December 2018,7,J Balvin,40.7
December 2018,8,XXXTENTACION,38.9
December 2018,9,Ozuna,38.6
December 2018,10,DJ Snake,38.3
January 2019,1,Post Malone,50.4
January 2019,2,Ariana Grande,50.09
January 2019,3,Khalid,44.6
January 2019,4,Drake,44.3
January 2019,5,Selena Gomez,44
January 2019,6,Swae Lee,43.9
January 2019,7,Calvin Harris,43.3
January 2019,8,J Balvin,42.3
January 2019,9,Marshmello,40.9
January 2019,10,Imagine Dragons,40.8
February 2019,1,Ariana Grande,56.3
February 2019,2,Post Malone,49.7
February 2019,3,Khalid,45.1
February 2019,4,Calvin Harris,43
February 2019,5,Swae Lee,42.8
February 2019,6,Marshmello,41.5
February 2019,7,Drake,41.3
February 2019,8,Selena Gomez,41.2
February 2019,9,Sam Smith,40.7
February 2019,10,J Balvin,39.7
March 2019,1,Ariana Grande,52.6
March 2019,2,J Balvin,50
March 2019,3,Post Malone,48.3
March 2019,4,Khalid,46.2
March 2019,5,Marshmello,45
March 2019,6,Selena Gomez,44.2
March 2019,7,Calvin Harris,42.5
March 2019,8,Drake,42.1
March 2019,9,Swae Lee,40.6
March 2019,10,Sam Smith,39.7
April 2019,1,Khalid,50.3
April 2019,2,Ariana Grande,49.8
April 2019,3,J Balvin,48.1
April 2019,4,Post Malone,47.5
April 2019,5,Billie Eilish,45.2
April 2019,6,Marshmello,44.9
April 2019,7,Swae Lee,41.6
April 2019,8,Calvin Harris,40.7
April 2019,9,Selena Gomez,39.8
April 2019,10,Drake,38.7
May 2019,1,Ed Sheeran,56.27
