Ed Sheeran,Taylor Swift,J Balvin,Maroon 5,Calvin Harris,Imagine Dragons,Daddy Yankee,Justin Bieber,Dua Lipa,Sia,Post Malone,Camila Cabello,Sam Smith,Selena Gomez,Charlie Puth,Eminem,Bruno Mars,Drake,Demi Lovato,Kendrick Lamar,The Weeknd,Marshmello,David Guetta,The Chainsmokers,Khalid,Bad Bunny,Ariana Grande,Ozuna,DJ Snake,Mariah Carey,XXXTENTACION,Swae Lee,Billie Eilish,Shawn Mendes,Lil Nas X,Nicki Minaj,Travis Scott,Lady Gaga,Halsey,Jason Derulo,Cardi B,DaBaby,Doja Cat,Olivia Rodrigo,The Kid Laroi,Coldplay,Adele,Elton John,Harry Styles,Rihanna,Shakira,Miley Cyrus,Date
41400000,35000000,34800000,34200000,33100000,32799999,31700000,31000000,30900000,30800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,October 2017
45700000,0,33299999,39200000,0,0,0,0,33500000,33600000,37200000,35000000,32900000,34000000,31200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,November 2017
50000000,0,33299999,38100000,0,0,0,0,33800000,33600000,38100000,40100000,34000000,34000000,31200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,December 2017
50700000,0,34800000,36300000,0,0,0,0,36600000,0,38700000,46090000,0,0,0,39100000,36050000,34800000,34700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,January 2018
48891512,0,0,34164790,0,0,0,0,37181277,0,36809184,43704247,0,0,0,37940173,36703755,44833585,0,39550605,35157482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,February 2018
43000000,0,0,0,0,0,0,0,38000000,0,40000000,41000000,0,0,0,0,0,48000000,0,43000000,0,41000000,36000000,35000000,34000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,March 2018
40000000,0,43000000,0,36000000,0,0,0,42000000,0,39000000,0,0,0,0,0,0,50000000,0,38000000,43000000,40000000,39000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,April 2018
40000000,0,45000000,0,41000000,0,0,0,43000000,36000000,45000000,0,0,0,0,0,0,49000000,0,0,0,39000000,38000000,0,36000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May 2018
38000000,0,48000000,40000000,43000000,0,0,0,43000000,37000000,43000000,0,0,0,0,0,0,49000000,0,0,0,0,37000000,0,37000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,June 2018
40000000,0,50000000,43000000,43000000,0,0,0,43000000,0,40000000,0,0,0,0,0,0,64000000,39000000,0,0,0,0,0,41000000,41000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,July 2018
40000000,0,47000000,43000000,41000000,38000000,0,0,38000000,0,0,0,0,0,0,0,0,60000000,0,0,0,0,0,0,41000000,38000000,40000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,August 2018
38300000,0,44200000,40800000,42700000,39100000,0,0,39600000,0,0,0,0,0,0,44500000,0,53300000,0,0,0,0,40200000,0,42200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,September 2018
0,0,41800000,0,42100000,0,0,0,41100000,0,0,0,0,45100000,0,0,0,47900000,0,0,0,40500000,39100000,0,43400000,39500000,0,39700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,October 2018
